problem_idx,circuit_type,sample_idx,success,retries_used,validation_passed,spec_passed,functional_test_name,functional_metric_value,opt_efficiency,robustness_score,pnr_score,layout_area,drc_violations,sax_compiled,device_loss_db,circuit_loss_before_db,circuit_loss_after_db,total_loss_db,circuit_improvement_db,il_after_db,il_improvement_db
1,mzi – mach-zehnder interferometer,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
1,mzi – mach-zehnder interferometer,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
1,mzi – mach-zehnder interferometer,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
2,mzm – mach-zehnder modulator,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
2,mzm – mach-zehnder modulator,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
2,mzm – mach-zehnder modulator,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
3,direct modulator,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
3,direct modulator,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
3,direct modulator,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
4,qpsk modulator,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
4,qpsk modulator,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
4,qpsk modulator,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
5,8-qam modulator,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
5,8-qam modulator,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
5,8-qam modulator,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
6,64-qam modulator,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
6,64-qam modulator,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
6,64-qam modulator,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
7,wdm multiplexer,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
7,wdm multiplexer,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
7,wdm multiplexer,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
8,wdm demultiplexer,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
8,wdm demultiplexer,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
8,wdm demultiplexer,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
9,90° optical hybrid,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
9,90° optical hybrid,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
